----------------------------- MORE -----------------------------

| Naziv : More 392 | P = 535 | S = 268 | MSV = 2 | kTezine = 572437 |

| Naziv : Mocvara 554 | P = 976 | Z = 0 | S = 841 | kTezine = 0.999999 |
| Naziv : Mocvara 483 | P = 527 | Z = 0 | S = 887 | kTezine = 0.999998 |
| Naziv : Mocvara 9 | P = 372 | Z = 0 | S = 875 | kTezine = 0.999997 |
| Naziv : Mocvara 543 | P = 633 | Z = 0 | S = 58 | kTezine = 0.999973 |
| Naziv : Mocvara 327 | P = 705 | Z = 0.01 | S = 709 | kTezine = 0.989998 |
| Naziv : Mocvara 167 | P = 857 | Z = 0.01 | S = 402 | kTezine = 0.989997 |
| Naziv : Mocvara 132 | P = 703 | Z = 0.01 | S = 398 | kTezine = 0.989996 |
| Naziv : Mocvara 671 | P = 376 | Z = 0.01 | S = 538 | kTezine = 0.989995 |
| Naziv : Mocvara 104 | P = 768 | Z = 0.01 | S = 250 | kTezine = 0.989995 |
| Naziv : Mocvara 284 | P = 963 | Z = 0.02 | S = 991 | kTezine = 0.979999 |
| Naziv : Mocvara 367 | P = 943 | Z = 0.02 | S = 908 | kTezine = 0.979999 |
| Naziv : Mocvara 193 | P = 935 | Z = 0.02 | S = 798 | kTezine = 0.979999 |
| Naziv : Mocvara 341 | P = 335 | Z = 0.02 | S = 606 | kTezine = 0.979995 |
| Naziv : Mocvara 81 | P = 384 | Z = 0.02 | S = 107 | kTezine = 0.979976 |
| Naziv : Mocvara 396 | P = 994 | Z = 0.03 | S = 511 | kTezine = 0.969998 |
| Naziv : Mocvara 624 | P = 617 | Z = 0.03 | S = 808 | kTezine = 0.969998 |
| Naziv : Mocvara 718 | P = 466 | Z = 0.03 | S = 925 | kTezine = 0.969998 |
| Naziv : Mocvara 550 | P = 772 | Z = 0.03 | S = 529 | kTezine = 0.969998 |
| Naziv : Mocvara 348 | P = 206 | Z = 0.03 | S = 853 | kTezine = 0.969995 |
| Naziv : Mocvara 151 | P = 321 | Z = 0.03 | S = 223 | kTezine = 0.969986 |
| Naziv : Mocvara 457 | P = 845 | Z = 0.03 | S = 63 | kTezine = 0.969982 |
| Naziv : Mocvara 334 | P = 596 | Z = 0.04 | S = 845 | kTezine = 0.959998 |
| Naziv : Mocvara 744 | P = 615 | Z = 0.04 | S = 736 | kTezine = 0.959998 |
| Naziv : Mocvara 322 | P = 386 | Z = 0.04 | S = 586 | kTezine = 0.959996 |
| Naziv : Mocvara 264 | P = 497 | Z = 0.04 | S = 209 | kTezine = 0.959991 |
| Naziv : Mocvara 696 | P = 942 | Z = 0.05 | S = 887 | kTezine = 0.949999 |
| Naziv : Mocvara 580 | P = 838 | Z = 0.05 | S = 919 | kTezine = 0.949999 |
| Naziv : Mocvara 80 | P = 182 | Z = 0.05 | S = 903 | kTezine = 0.949994 |
| Naziv : Mocvara 754 | P = 789 | Z = 0.05 | S = 148 | kTezine = 0.949992 |
| Naziv : Mocvara 584 | P = 650 | Z = 0.05 | S = 165 | kTezine = 0.949991 |
| Naziv : Mocvara 482 | P = 65 | Z = 0.05 | S = 327 | kTezine = 0.949955 |
| Naziv : Mocvara 125 | P = 838 | Z = 0.06 | S = 548 | kTezine = 0.939998 |
| Naziv : Mocvara 174 | P = 532 | Z = 0.06 | S = 790 | kTezine = 0.939998 |
| Naziv : Mocvara 544 | P = 464 | Z = 0.06 | S = 864 | kTezine = 0.939998 |
| Naziv : Mocvara 519 | P = 799 | Z = 0.06 | S = 215 | kTezine = 0.939995 |
| Naziv : Mocvara 770 | P = 713 | Z = 0.06 | S = 219 | kTezine = 0.939994 |
| Naziv : Mocvara 486 | P = 307 | Z = 0.06 | S = 315 | kTezine = 0.93999 |
| Naziv : Mocvara 701 | P = 79 | Z = 0.06 | S = 399 | kTezine = 0.93997 |
| Naziv : Mocvara 466 | P = 82 | Z = 0.06 | S = 304 | kTezine = 0.939962 |
| Naziv : Mocvara 759 | P = 936 | Z = 0.07 | S = 538 | kTezine = 0.929998 |
| Naziv : Mocvara 587 | P = 525 | Z = 0.07 | S = 602 | kTezine = 0.929997 |
| Naziv : Mocvara 23 | P = 719 | Z = 0.07 | S = 192 | kTezine = 0.929993 |
| Naziv : Mocvara 287 | P = 599 | Z = 0.07 | S = 224 | kTezine = 0.929993 |
| Naziv : Mocvara 224 | P = 92 | Z = 0.07 | S = 971 | kTezine = 0.92999 |
| Naziv : Mocvara 558 | P = 323 | Z = 0.07 | S = 165 | kTezine = 0.929983 |
| Naziv : Mocvara 190 | P = 179 | Z = 0.07 | S = 229 | kTezine = 0.929977 |
| Naziv : Mocvara 727 | P = 263 | Z = 0.07 | S = 130 | kTezine = 0.929973 |
| Naziv : Mocvara 425 | P = 37 | Z = 0.07 | S = 100 | kTezine = 0.929749 |
| Naziv : Mocvara 199 | P = 635 | Z = 0.08 | S = 444 | kTezine = 0.919997 |
| Naziv : Mocvara 476 | P = 519 | Z = 0.08 | S = 541 | kTezine = 0.919997 |
| Naziv : Mocvara 509 | P = 364 | Z = 0.08 | S = 609 | kTezine = 0.919996 |
| Naziv : Mocvara 42 | P = 755 | Z = 0.08 | S = 225 | kTezine = 0.919995 |
| Naziv : Mocvara 177 | P = 341 | Z = 0.08 | S = 300 | kTezine = 0.919991 |
| Naziv : Mocvara 441 | P = 387 | Z = 0.08 | S = 45 | kTezine = 0.919947 |
| Naziv : Mocvara 105 | P = 995 | Z = 0.09 | S = 980 | kTezine = 0.909999 |
| Naziv : Mocvara 267 | P = 966 | Z = 0.09 | S = 942 | kTezine = 0.909999 |
| Naziv : Mocvara 456 | P = 194 | Z = 0.09 | S = 813 | kTezine = 0.909994 |
| Naziv : Mocvara 76 | P = 535 | Z = 0.09 | S = 231 | kTezine = 0.909993 |
| Naziv : Mocvara 413 | P = 112 | Z = 0.09 | S = 830 | kTezine = 0.90999 |
| Naziv : Mocvara 636 | P = 250 | Z = 0.09 | S = 321 | kTezine = 0.909989 |
| Naziv : Mocvara 331 | P = 291 | Z = 0.09 | S = 111 | kTezine = 0.909972 |
| Naziv : Mocvara 465 | P = 631 | Z = 0.1 | S = 991 | kTezine = 0.899999 |
| Naziv : Mocvara 435 | P = 455 | Z = 0.1 | S = 914 | kTezine = 0.899998 |
| Naziv : Mocvara 720 | P = 715 | Z = 0.1 | S = 439 | kTezine = 0.899997 |
| Naziv : Mocvara 77 | P = 447 | Z = 0.1 | S = 638 | kTezine = 0.899997 |
| Naziv : Mocvara 666 | P = 486 | Z = 0.1 | S = 474 | kTezine = 0.899996 |
| Naziv : Mocvara 34 | P = 397 | Z = 0.1 | S = 569 | kTezine = 0.899996 |
| Naziv : Mocvara 166 | P = 274 | Z = 0.1 | S = 714 | kTezine = 0.899995 |
| Naziv : Mocvara 352 | P = 258 | Z = 0.1 | S = 649 | kTezine = 0.899995 |
| Naziv : Mocvara 432 | P = 886 | Z = 0.11 | S = 988 | kTezine = 0.889999 |
| Naziv : Mocvara 54 | P = 520 | Z = 0.11 | S = 900 | kTezine = 0.889998 |
| Naziv : Mocvara 743 | P = 551 | Z = 0.11 | S = 802 | kTezine = 0.889998 |
| Naziv : Mocvara 97 | P = 504 | Z = 0.11 | S = 641 | kTezine = 0.889997 |
| Naziv : Mocvara 702 | P = 591 | Z = 0.11 | S = 418 | kTezine = 0.889996 |
| Naziv : Mocvara 63 | P = 166 | Z = 0.11 | S = 990 | kTezine = 0.889995 |
| Naziv : Mocvara 461 | P = 226 | Z = 0.11 | S = 685 | kTezine = 0.889994 |
| Naziv : Mocvara 399 | P = 661 | Z = 0.11 | S = 208 | kTezine = 0.889993 |
| Naziv : Mocvara 304 | P = 62 | Z = 0.11 | S = 705 | kTezine = 0.88998 |
| Naziv : Mocvara 693 | P = 74 | Z = 0.11 | S = 44 | kTezine = 0.889727 |
| Naziv : Mocvara 405 | P = 31 | Z = 0.11 | S = 5 | kTezine = 0.884258 |
| Naziv : Mocvara 340 | P = 537 | Z = 0.12 | S = 893 | kTezine = 0.879998 |
| Naziv : Mocvara 381 | P = 840 | Z = 0.12 | S = 345 | kTezine = 0.879997 |
| Naziv : Mocvara 94 | P = 910 | Z = 0.12 | S = 313 | kTezine = 0.879997 |
| Naziv : Mocvara 504 | P = 269 | Z = 0.12 | S = 882 | kTezine = 0.879996 |
| Naziv : Mocvara 688 | P = 331 | Z = 0.12 | S = 325 | kTezine = 0.879992 |
| Naziv : Mocvara 526 | P = 172 | Z = 0.12 | S = 448 | kTezine = 0.879989 |
| Naziv : Mocvara 26 | P = 69 | Z = 0.12 | S = 639 | kTezine = 0.87998 |
| Naziv : Mocvara 30 | P = 183 | Z = 0.12 | S = 48 | kTezine = 0.8799 |
| Naziv : Mocvara 136 | P = 989 | Z = 0.12 | S = 4 | kTezine = 0.879778 |
| Naziv : Mocvara 618 | P = 756 | Z = 0.13 | S = 567 | kTezine = 0.869998 |
| Naziv : Mocvara 276 | P = 235 | Z = 0.13 | S = 959 | kTezine = 0.869996 |
| Naziv : Mocvara 3 | P = 789 | Z = 0.13 | S = 255 | kTezine = 0.869996 |
| Naziv : Mocvara 210 | P = 189 | Z = 0.13 | S = 859 | kTezine = 0.869995 |
| Naziv : Mocvara 577 | P = 181 | Z = 0.13 | S = 510 | kTezine = 0.869991 |
| Naziv : Mocvara 427 | P = 514 | Z = 0.13 | S = 89 | kTezine = 0.869981 |
| Naziv : Mocvara 106 | P = 617 | Z = 0.14 | S = 887 | kTezine = 0.859998 |
| Naziv : Mocvara 487 | P = 637 | Z = 0.14 | S = 598 | kTezine = 0.859998 |
| Naziv : Mocvara 378 | P = 735 | Z = 0.14 | S = 482 | kTezine = 0.859998 |
| Naziv : Mocvara 387 | P = 619 | Z = 0.14 | S = 445 | kTezine = 0.859997 |
| Naziv : Mocvara 607 | P = 828 | Z = 0.14 | S = 179 | kTezine = 0.859994 |
| Naziv : Mocvara 481 | P = 382 | Z = 0.14 | S = 307 | kTezine = 0.859993 |
| Naziv : Mocvara 698 | P = 560 | Z = 0.14 | S = 190 | kTezine = 0.859992 |
| Naziv : Mocvara 637 | P = 300 | Z = 0.14 | S = 221 | kTezine = 0.859987 |
| Naziv : Mocvara 31 | P = 309 | Z = 0.14 | S = 208 | kTezine = 0.859987 |
| Naziv : Mocvara 246 | P = 796 | Z = 0.15 | S = 745 | kTezine = 0.849999 |
| Naziv : Mocvara 626 | P = 262 | Z = 0.15 | S = 465 | kTezine = 0.849993 |
| Naziv : Mocvara 363 | P = 812 | Z = 0.16 | S = 907 | kTezine = 0.839999 |
| Naziv : Mocvara 52 | P = 750 | Z = 0.16 | S = 868 | kTezine = 0.839999 |
| Naziv : Mocvara 251 | P = 658 | Z = 0.16 | S = 795 | kTezine = 0.839998 |
| Naziv : Mocvara 442 | P = 754 | Z = 0.16 | S = 660 | kTezine = 0.839998 |
| Naziv : Mocvara 406 | P = 393 | Z = 0.16 | S = 955 | kTezine = 0.839998 |
| Naziv : Mocvara 398 | P = 360 | Z = 0.16 | S = 571 | kTezine = 0.839996 |
| Naziv : Mocvara 679 | P = 714 | Z = 0.16 | S = 223 | kTezine = 0.839995 |
| Naziv : Mocvara 573 | P = 185 | Z = 0.16 | S = 795 | kTezine = 0.839994 |
| Naziv : Mocvara 505 | P = 646 | Z = 0.16 | S = 133 | kTezine = 0.83999 |
| Naziv : Mocvara 361 | P = 37 | Z = 0.16 | S = 695 | kTezine = 0.839967 |
| Naziv : Mocvara 35 | P = 834 | Z = 0.16 | S = 29 | kTezine = 0.839965 |
| Naziv : Mocvara 600 | P = 122 | Z = 0.16 | S = 71 | kTezine = 0.839903 |
| Naziv : Mocvara 202 | P = 392 | Z = 0.17 | S = 779 | kTezine = 0.829997 |
| Naziv : Mocvara 551 | P = 954 | Z = 0.17 | S = 160 | kTezine = 0.829995 |
| Naziv : Mocvara 172 | P = 802 | Z = 0.17 | S = 80 | kTezine = 0.829987 |
| Naziv : Mocvara 149 | P = 64 | Z = 0.17 | S = 122 | kTezine = 0.829894 |
| Naziv : Mocvara 252 | P = 904 | Z = 0.18 | S = 891 | kTezine = 0.819999 |
| Naziv : Mocvara 146 | P = 663 | Z = 0.18 | S = 946 | kTezine = 0.819999 |
| Naziv : Mocvara 523 | P = 414 | Z = 0.18 | S = 599 | kTezine = 0.819997 |
| Naziv : Mocvara 138 | P = 835 | Z = 0.18 | S = 268 | kTezine = 0.819996 |
| Naziv : Mocvara 201 | P = 810 | Z = 0.18 | S = 162 | kTezine = 0.819994 |
| Naziv : Mocvara 183 | P = 229 | Z = 0.18 | S = 352 | kTezine = 0.81999 |
| Naziv : Mocvara 126 | P = 906 | Z = 0.18 | S = 31 | kTezine = 0.819971 |
| Naziv : Mocvara 175 | P = 134 | Z = 0.18 | S = 33 | kTezine = 0.819815 |
| Naziv : Mocvara 562 | P = 332 | Z = 0.19 | S = 908 | kTezine = 0.809997 |
| Naziv : Mocvara 223 | P = 468 | Z = 0.19 | S = 457 | kTezine = 0.809996 |
| Naziv : Mocvara 290 | P = 883 | Z = 0.19 | S = 171 | kTezine = 0.809995 |
| Naziv : Mocvara 524 | P = 44 | Z = 0.19 | S = 463 | kTezine = 0.80996 |
| Naziv : Mocvara 384 | P = 520 | Z = 0.2 | S = 887 | kTezine = 0.799998 |
| Naziv : Mocvara 256 | P = 451 | Z = 0.2 | S = 333 | kTezine = 0.799995 |
| Naziv : Mocvara 538 | P = 482 | Z = 0.2 | S = 163 | kTezine = 0.79999 |
| Naziv : Mocvara 102 | P = 886 | Z = 0.2 | S = 66 | kTezine = 0.799986 |
| Naziv : Mocvara 424 | P = 476 | Z = 0.21 | S = 926 | kTezine = 0.789998 |
| Naziv : Mocvara 648 | P = 906 | Z = 0.21 | S = 371 | kTezine = 0.789998 |
| Naziv : Mocvara 20 | P = 372 | Z = 0.21 | S = 719 | kTezine = 0.789997 |
| Naziv : Mocvara 109 | P = 264 | Z = 0.21 | S = 815 | kTezine = 0.789996 |
| Naziv : Mocvara 169 | P = 98 | Z = 0.21 | S = 666 | kTezine = 0.789988 |
| Naziv : Mocvara 196 | P = 387 | Z = 0.21 | S = 151 | kTezine = 0.789986 |
| Naziv : Mocvara 24 | P = 829 | Z = 0.21 | S = 20 | kTezine = 0.789952 |
| Naziv : Mocvara 773 | P = 963 | Z = 0.22 | S = 800 | kTezine = 0.779999 |
| Naziv : Mocvara 375 | P = 842 | Z = 0.22 | S = 781 | kTezine = 0.779999 |
| Naziv : Mocvara 429 | P = 753 | Z = 0.22 | S = 656 | kTezine = 0.779998 |
| Naziv : Mocvara 750 | P = 295 | Z = 0.22 | S = 341 | kTezine = 0.779992 |
| Naziv : Mocvara 397 | P = 753 | Z = 0.22 | S = 116 | kTezine = 0.779991 |
| Naziv : Mocvara 583 | P = 63 | Z = 0.22 | S = 770 | kTezine = 0.779984 |
| Naziv : Mocvara 714 | P = 39 | Z = 0.22 | S = 308 | kTezine = 0.779935 |
| Naziv : Mocvara 187 | P = 563 | Z = 0.23 | S = 491 | kTezine = 0.769997 |
| Naziv : Mocvara 18 | P = 215 | Z = 0.23 | S = 907 | kTezine = 0.769996 |
| Naziv : Mocvara 758 | P = 149 | Z = 0.23 | S = 780 | kTezine = 0.769993 |
| Naziv : Mocvara 241 | P = 33 | Z = 0.23 | S = 956 | kTezine = 0.769976 |
| Naziv : Mocvara 5 | P = 15 | Z = 0.23 | S = 860 | kTezine = 0.76994 |
| Naziv : Mocvara 117 | P = 885 | Z = 0.24 | S = 998 | kTezine = 0.759999 |
| Naziv : Mocvara 703 | P = 641 | Z = 0.24 | S = 914 | kTezine = 0.759999 |
| Naziv : Mocvara 560 | P = 659 | Z = 0.24 | S = 471 | kTezine = 0.759998 |
| Naziv : Mocvara 471 | P = 373 | Z = 0.24 | S = 616 | kTezine = 0.759997 |
| Naziv : Mocvara 165 | P = 283 | Z = 0.24 | S = 477 | kTezine = 0.759994 |
| Naziv : Mocvara 707 | P = 398 | Z = 0.24 | S = 290 | kTezine = 0.759993 |
| Naziv : Mocvara 610 | P = 284 | Z = 0.24 | S = 180 | kTezine = 0.759985 |
| Naziv : Mocvara 548 | P = 267 | Z = 0.24 | S = 143 | kTezine = 0.75998 |
| Naziv : Mocvara 118 | P = 130 | Z = 0.24 | S = 287 | kTezine = 0.75998 |
| Naziv : Mocvara 765 | P = 117 | Z = 0.24 | S = 274 | kTezine = 0.759976 |
| Naziv : Mocvara 652 | P = 924 | Z = 0.25 | S = 998 | kTezine = 0.749999 |
| Naziv : Mocvara 493 | P = 450 | Z = 0.25 | S = 978 | kTezine = 0.749998 |
| Naziv : Mocvara 658 | P = 674 | Z = 0.25 | S = 534 | kTezine = 0.749998 |
| Naziv : Mocvara 359 | P = 208 | Z = 0.25 | S = 794 | kTezine = 0.749995 |
| Naziv : Mocvara 271 | P = 468 | Z = 0.25 | S = 286 | kTezine = 0.749994 |
| Naziv : Mocvara 586 | P = 607 | Z = 0.25 | S = 98 | kTezine = 0.749987 |
| Naziv : Mocvara 1 | P = 88 | Z = 0.25 | S = 510 | kTezine = 0.749983 |
| Naziv : Mocvara 545 | P = 981 | Z = 0.26 | S = 508 | kTezine = 0.739999 |
| Naziv : Mocvara 111 | P = 938 | Z = 0.26 | S = 516 | kTezine = 0.739998 |
| Naziv : Mocvara 200 | P = 697 | Z = 0.26 | S = 615 | kTezine = 0.739998 |
| Naziv : Mocvara 88 | P = 907 | Z = 0.26 | S = 425 | kTezine = 0.739998 |
| Naziv : Mocvara 15 | P = 477 | Z = 0.26 | S = 543 | kTezine = 0.739997 |
| Naziv : Mocvara 218 | P = 899 | Z = 0.26 | S = 278 | kTezine = 0.739997 |
| Naziv : Mocvara 207 | P = 706 | Z = 0.26 | S = 278 | kTezine = 0.739996 |
| Naziv : Mocvara 259 | P = 714 | Z = 0.26 | S = 151 | kTezine = 0.739993 |
| Naziv : Mocvara 221 | P = 193 | Z = 0.26 | S = 111 | kTezine = 0.739965 |
| Naziv : Mocvara 171 | P = 668 | Z = 0.26 | S = 30 | kTezine = 0.739963 |
| Naziv : Mocvara 603 | P = 987 | Z = 0.27 | S = 672 | kTezine = 0.729999 |
| Naziv : Mocvara 775 | P = 959 | Z = 0.27 | S = 235 | kTezine = 0.729997 |
| Naziv : Mocvara 38 | P = 259 | Z = 0.27 | S = 766 | kTezine = 0.729996 |
| Naziv : Mocvara 579 | P = 111 | Z = 0.27 | S = 527 | kTezine = 0.729988 |
| Naziv : Mocvara 333 | P = 402 | Z = 0.27 | S = 136 | kTezine = 0.729987 |
| Naziv : Mocvara 128 | P = 285 | Z = 0.27 | S = 144 | kTezine = 0.729982 |
| Naziv : Mocvara 257 | P = 248 | Z = 0.27 | S = 67 | kTezine = 0.729956 |
| Naziv : Mocvara 418 | P = 37 | Z = 0.27 | S = 219 | kTezine = 0.72991 |
| Naziv : Mocvara 723 | P = 132 | Z = 0.28 | S = 628 | kTezine = 0.719991 |
| Naziv : Mocvara 68 | P = 693 | Z = 0.28 | S = 60 | kTezine = 0.719983 |
| Naziv : Mocvara 11 | P = 52 | Z = 0.28 | S = 688 | kTezine = 0.71998 |
| Naziv : Mocvara 168 | P = 69 | Z = 0.28 | S = 420 | kTezine = 0.719975 |
| Naziv : Mocvara 157 | P = 701 | Z = 0.28 | S = 32 | kTezine = 0.719968 |
| Naziv : Mocvara 423 | P = 979 | Z = 0.29 | S = 645 | kTezine = 0.709999 |
| Naziv : Mocvara 731 | P = 990 | Z = 0.29 | S = 629 | kTezine = 0.709999 |
| Naziv : Mocvara 53 | P = 774 | Z = 0.29 | S = 703 | kTezine = 0.709999 |
| Naziv : Mocvara 343 | P = 945 | Z = 0.29 | S = 511 | kTezine = 0.709999 |
| Naziv : Mocvara 691 | P = 434 | Z = 0.29 | S = 862 | kTezine = 0.709998 |
| Naziv : Mocvara 64 | P = 429 | Z = 0.29 | S = 533 | kTezine = 0.709997 |
| Naziv : Mocvara 92 | P = 699 | Z = 0.29 | S = 208 | kTezine = 0.709995 |
| Naziv : Mocvara 734 | P = 101 | Z = 0.29 | S = 965 | kTezine = 0.709993 |
| Naziv : Mocvara 93 | P = 204 | Z = 0.29 | S = 476 | kTezine = 0.709993 |
| Naziv : Mocvara 130 | P = 655 | Z = 0.29 | S = 115 | kTezine = 0.709991 |
| Naziv : Mocvara 110 | P = 117 | Z = 0.29 | S = 539 | kTezine = 0.709989 |
| Naziv : Mocvara 742 | P = 424 | Z = 0.29 | S = 62 | kTezine = 0.709973 |
| Naziv : Mocvara 634 | P = 150 | Z = 0.29 | S = 98 | kTezine = 0.709952 |
| Naziv : Mocvara 347 | P = 337 | Z = 0.29 | S = 41 | kTezine = 0.709949 |
| Naziv : Mocvara 496 | P = 103 | Z = 0.29 | S = 110 | kTezine = 0.709937 |
| Naziv : Mocvara 260 | P = 916 | Z = 0.3 | S = 947 | kTezine = 0.699999 |
| Naziv : Mocvara 306 | P = 675 | Z = 0.3 | S = 712 | kTezine = 0.699999 |
| Naziv : Mocvara 469 | P = 759 | Z = 0.3 | S = 612 | kTezine = 0.699998 |
| Naziv : Mocvara 565 | P = 427 | Z = 0.3 | S = 979 | kTezine = 0.699998 |
| Naziv : Mocvara 403 | P = 433 | Z = 0.3 | S = 689 | kTezine = 0.699998 |
| Naziv : Mocvara 557 | P = 663 | Z = 0.3 | S = 295 | kTezine = 0.699996 |
| Naziv : Mocvara 180 | P = 122 | Z = 0.3 | S = 924 | kTezine = 0.699994 |
| Naziv : Mocvara 247 | P = 104 | Z = 0.3 | S = 665 | kTezine = 0.69999 |
| Naziv : Mocvara 354 | P = 58 | Z = 0.3 | S = 633 | kTezine = 0.699981 |
| Naziv : Mocvara 656 | P = 668 | Z = 0.31 | S = 933 | kTezine = 0.689999 |
| Naziv : Mocvara 370 | P = 572 | Z = 0.31 | S = 935 | kTezine = 0.689999 |
| Naziv : Mocvara 409 | P = 666 | Z = 0.31 | S = 743 | kTezine = 0.689999 |
| Naziv : Mocvara 629 | P = 370 | Z = 0.31 | S = 760 | kTezine = 0.689998 |
| Naziv : Mocvara 527 | P = 545 | Z = 0.31 | S = 364 | kTezine = 0.689996 |
| Naziv : Mocvara 591 | P = 290 | Z = 0.31 | S = 578 | kTezine = 0.689996 |
| Naziv : Mocvara 498 | P = 584 | Z = 0.31 | S = 278 | kTezine = 0.689996 |
| Naziv : Mocvara 135 | P = 887 | Z = 0.31 | S = 120 | kTezine = 0.689994 |
| Naziv : Mocvara 59 | P = 900 | Z = 0.32 | S = 391 | kTezine = 0.679998 |
| Naziv : Mocvara 649 | P = 714 | Z = 0.32 | S = 385 | kTezine = 0.679998 |
| Naziv : Mocvara 761 | P = 485 | Z = 0.32 | S = 432 | kTezine = 0.679997 |
| Naziv : Mocvara 654 | P = 871 | Z = 0.32 | S = 179 | kTezine = 0.679996 |
| Naziv : Mocvara 393 | P = 123 | Z = 0.32 | S = 912 | kTezine = 0.679994 |
| Naziv : Mocvara 131 | P = 291 | Z = 0.32 | S = 192 | kTezine = 0.679988 |
| Naziv : Mocvara 78 | P = 855 | Z = 0.32 | S = 50 | kTezine = 0.679984 |
| Naziv : Mocvara 668 | P = 537 | Z = 0.32 | S = 54 | kTezine = 0.679977 |
| Naziv : Mocvara 240 | P = 15 | Z = 0.32 | S = 922 | kTezine = 0.679951 |
| Naziv : Mocvara 6 | P = 982 | Z = 0.33 | S = 988 | kTezine = 0.669999 |
| Naziv : Mocvara 61 | P = 826 | Z = 0.33 | S = 643 | kTezine = 0.669999 |
| Naziv : Mocvara 530 | P = 778 | Z = 0.33 | S = 576 | kTezine = 0.669998 |
| Naziv : Mocvara 51 | P = 544 | Z = 0.33 | S = 669 | kTezine = 0.669998 |
| Naziv : Mocvara 561 | P = 599 | Z = 0.33 | S = 570 | kTezine = 0.669998 |
| Naziv : Mocvara 715 | P = 800 | Z = 0.33 | S = 367 | kTezine = 0.669998 |
| Naziv : Mocvara 752 | P = 807 | Z = 0.33 | S = 254 | kTezine = 0.669997 |
| Naziv : Mocvara 360 | P = 224 | Z = 0.33 | S = 872 | kTezine = 0.669997 |
| Naziv : Mocvara 369 | P = 105 | Z = 0.33 | S = 879 | kTezine = 0.669993 |
| Naziv : Mocvara 740 | P = 4 | Z = 0.33 | S = 251 | kTezine = 0.669333 |
| Naziv : Mocvara 768 | P = 829 | Z = 0.34 | S = 808 | kTezine = 0.659999 |
| Naziv : Mocvara 549 | P = 973 | Z = 0.34 | S = 577 | kTezine = 0.659999 |
| Naziv : Mocvara 278 | P = 548 | Z = 0.34 | S = 573 | kTezine = 0.659998 |
| Naziv : Mocvara 672 | P = 939 | Z = 0.34 | S = 22 | kTezine = 0.659968 |
| Naziv : Mocvara 203 | P = 170 | Z = 0.34 | S = 109 | kTezine = 0.659964 |
| Naziv : Mocvara 712 | P = 799 | Z = 0.35 | S = 887 | kTezine = 0.649999 |
| Naziv : Mocvara 395 | P = 680 | Z = 0.35 | S = 941 | kTezine = 0.649999 |
| Naziv : Mocvara 503 | P = 584 | Z = 0.35 | S = 934 | kTezine = 0.649999 |
| Naziv : Mocvara 90 | P = 742 | Z = 0.35 | S = 585 | kTezine = 0.649998 |
| Naziv : Mocvara 578 | P = 691 | Z = 0.35 | S = 553 | kTezine = 0.649998 |
| Naziv : Mocvara 206 | P = 333 | Z = 0.35 | S = 924 | kTezine = 0.649998 |
| Naziv : Mocvara 371 | P = 420 | Z = 0.35 | S = 122 | kTezine = 0.649987 |
| Naziv : Mocvara 414 | P = 63 | Z = 0.35 | S = 455 | kTezine = 0.649977 |
| Naziv : Mocvara 243 | P = 956 | Z = 0.36 | S = 668 | kTezine = 0.639999 |
| Naziv : Mocvara 328 | P = 461 | Z = 0.36 | S = 953 | kTezine = 0.639999 |
| Naziv : Mocvara 447 | P = 802 | Z = 0.36 | S = 454 | kTezine = 0.639998 |
| Naziv : Mocvara 37 | P = 388 | Z = 0.36 | S = 744 | kTezine = 0.639998 |
| Naziv : Mocvara 181 | P = 922 | Z = 0.36 | S = 144 | kTezine = 0.639995 |
| Naziv : Mocvara 631 | P = 247 | Z = 0.36 | S = 391 | kTezine = 0.639993 |
| Naziv : Mocvara 404 | P = 361 | Z = 0.36 | S = 64 | kTezine = 0.639972 |
| Naziv : Mocvara 142 | P = 909 | Z = 0.37 | S = 799 | kTezine = 0.629999 |
| Naziv : Mocvara 75 | P = 797 | Z = 0.37 | S = 516 | kTezine = 0.629998 |
| Naziv : Mocvara 337 | P = 757 | Z = 0.38 | S = 427 | kTezine = 0.619998 |
| Naziv : Mocvara 748 | P = 387 | Z = 0.38 | S = 434 | kTezine = 0.619996 |
| Naziv : Mocvara 601 | P = 585 | Z = 0.38 | S = 187 | kTezine = 0.619994 |
| Naziv : Mocvara 575 | P = 127 | Z = 0.38 | S = 641 | kTezine = 0.619992 |
| Naziv : Mocvara 722 | P = 298 | Z = 0.38 | S = 271 | kTezine = 0.619992 |
| Naziv : Mocvara 436 | P = 300 | Z = 0.39 | S = 372 | kTezine = 0.609995 |
| Naziv : Mocvara 605 | P = 847 | Z = 0.39 | S = 108 | kTezine = 0.609993 |
| Naziv : Mocvara 356 | P = 556 | Z = 0.39 | S = 106 | kTezine = 0.60999 |
| Naziv : Mocvara 176 | P = 319 | Z = 0.39 | S = 2 | kTezine = 0.609044 |
| Naziv : Mocvara 506 | P = 664 | Z = 0.4 | S = 905 | kTezine = 0.599999 |
| Naziv : Mocvara 313 | P = 758 | Z = 0.4 | S = 804 | kTezine = 0.599999 |
| Naziv : Mocvara 459 | P = 788 | Z = 0.4 | S = 571 | kTezine = 0.599999 |
| Naziv : Mocvara 79 | P = 862 | Z = 0.4 | S = 397 | kTezine = 0.599998 |
| Naziv : Mocvara 680 | P = 670 | Z = 0.4 | S = 393 | kTezine = 0.599998 |
